lat,lon,label,cluster
34.55408859,69.32198334,enemy,4
34.55408859,69.32198334,enemy,4
34.54417038,69.31223297,enemy,4
34.55408859,69.32198334,enemy,4
34.53388977,69.18501282,enemy,3
34.55408859,69.32198334,enemy,4
34.5216713,69.17445374,enemy,3
34.51667023,69.18332672,enemy,3
34.53916168,69.31445313,enemy,4
34.17472076,69.45749664,enemy,1
34.41666031,69.76667786,enemy,2
34.52917099,69.30832672,enemy,4
34.44971848,68.95305634,enemy,3
34.5999794,69.73330688,enemy,2
34.53944016,69.17415619,enemy,3
34.5999794,69.73330688,enemy,2
34.50247955,69.30832672,enemy,4
34.53887939,69.2141571,enemy,3
34.63167191,69.72972107,enemy,2
34.63167191,69.72972107,enemy,2
34.5216713,69.16889191,enemy,3
34.50247955,69.09361267,enemy,3
34.5216713,69.16889191,enemy,3
34.75582886,69.24665833,enemy,0
34.62305832,69.71444702,enemy,2
34.50804901,69.23693848,enemy,4
34.52777863,69.18831635,enemy,3
34.45306015,69.11303711,enemy,3
34.5430603,69.19055176,enemy,3
34.53527069,69.20555878,enemy,3
34.55722046,69.13887787,enemy,3
34.56111145,69.22499847,enemy,3
34.57278061,69.2408371,enemy,4
34.5999794,69.73330688,enemy,2
34.5216713,69.16889191,enemy,3
34.5216713,69.16889191,enemy,3
34.56666946,69.48332977,enemy,4
34.52999878,69.18110657,enemy,3
34.5085907,69.26361084,enemy,4
34.57860947,69.13861084,enemy,3
34.4591713,69.1838913,enemy,3
34.53722,69.18305206,enemy,3
34.44887924,69.38082886,enemy,4
34.51776886,69.2472229,enemy,4
34.41276932,69.38082886,enemy,4
34.55556107,69.20471954,enemy,3
34.53416824,69.20333099,enemy,3
34.46722031,69.12389374,enemy,3
34.52582932,69.16889191,enemy,3
34.54111099,69.14611053,enemy,3
34.54027939,69.16887665,enemy,3
34.51388931,69.16581726,enemy,3
34.63360977,69.71749878,enemy,2
34.54027939,69.11750031,enemy,3
34.47360992,69.21666718,enemy,3
34.38164902,69.2216568,enemy,1
34.502491,69.30832672,enemy,4
34.59472275,68.95186615,enemy,3
34.57167053,69.33027649,enemy,4
34.52111053,69.15556335,enemy,3
34.63333893,69.0,enemy,3
34.42943954,69.18916321,enemy,1
34.54277039,69.22805786,enemy,3
34.55305862,69.23555756,enemy,3
34.4544487,69.11416626,enemy,3
34.73962021,69.11852264,enemy,0
34.8091011,69.24162292,enemy,0
34.54401016,69.26351929,enemy,4
34.53388977,69.18486023,enemy,3
34.39756012,69.16536713,enemy,1
34.59471893,68.95185852,enemy,3
34.59472275,68.95185089,enemy,3
34.53178024,69.11685944,enemy,3
34.5377388,69.19943237,enemy,3
34.42934036,69.28623962,enemy,4
34.47999954,69.21453857,enemy,3
34.56093979,69.31394196,enemy,4
34.62535095,69.07855225,enemy,3
34.542099,69.27572632,enemy,4
34.83705521,69.24170685,enemy,0
34.54399109,69.23432159,enemy,3
34.57561111,69.20278931,enemy,3
34.5274086,69.19003296,enemy,3
34.45471954,69.22753906,enemy,1
34.50671005,69.14259338,enemy,3
34.50670242,69.14597321,enemy,3
34.47470093,69.12631989,enemy,3
34.54222107,69.21469116,enemy,3
34.52062988,69.18414307,enemy,3
34.48302841,69.0951767,enemy,3
34.53789139,69.21025848,enemy,3
34.48300171,69.09519958,enemy,3
34.54370117,69.24819183,enemy,4
34.7285881,69.34734344,enemy,0
34.72859955,69.34729767,enemy,0
34.52470016,69.22815704,enemy,3
34.53416824,69.17326355,enemy,3
34.55408859,69.32198334,enemy,4
34.59154129,69.33805084,enemy,4
34.59154129,69.33805084,enemy,4
34.55408859,69.32198334,enemy,4
34.5182991,69.61669922,enemy,2
34.53783035,69.12531281,enemy,3
34.53779984,69.12529755,enemy,3
34.55056381,69.3002243,enemy,4
34.55408859,69.32198334,enemy,4
34.55408859,69.32198334,enemy,4
34.55408859,69.32198334,enemy,4
34.55408859,69.32198334,enemy,4
34.55408859,69.32198334,enemy,4
34.55408859,69.32198334,enemy,4
34.48828888,68.96405792,enemy,3
34.48830032,68.9641037,enemy,3
34.61423111,69.29067993,enemy,4
34.61420059,69.29070282,enemy,4
34.55408859,69.32198334,enemy,4
34.55408859,69.32198334,enemy,4
34.37369919,69.22699738,enemy,1
34.82223129,69.26822662,enemy,0
34.82222748,69.26823425,enemy,0
34.78750992,69.2131424,enemy,0
34.76279068,69.23986053,enemy,0
34.74528122,69.2350769,enemy,0
34.74530029,69.23509979,enemy,0
34.54389954,69.27572632,enemy,4
34.54119873,69.26029968,enemy,4
34.54389954,69.27570343,enemy,4
34.54431152,69.25343323,enemy,4
34.55408859,69.32198334,enemy,4
34.75696945,69.82485962,enemy,2
34.52558899,69.27361298,enemy,4
34.52560043,69.27359772,enemy,4
34.55585098,69.14170074,enemy,3
34.30144882,69.39087677,enemy,1
34.51908875,69.17671967,enemy,3
34.51908875,69.17671967,enemy,3
34.50791168,69.23748779,enemy,4
34.55408859,69.32198334,enemy,4
34.55408859,69.32198334,enemy,4
34.55408859,69.32198334,enemy,4
34.51523972,69.17105103,enemy,3
34.51523972,69.17105103,enemy,3
34.5152359,69.17105103,enemy,3
34.54291916,69.30843353,enemy,4
34.41688156,69.38230896,enemy,4
34.5198288,69.0849762,enemy,3
34.54259491,69.19714355,enemy,3
34.54045105,69.19616699,enemy,3
34.59899139,69.68955994,enemy,2
34.570961,69.27472687,enemy,4
34.59899139,69.68955994,enemy,2
34.59898758,69.68956757,enemy,2
34.55408859,69.32198334,enemy,4
34.57194901,68.99674988,enemy,3
34.46648026,69.20906067,enemy,3
34.49407959,69.35944366,enemy,4
34.46480179,69.21199799,enemy,3
34.49409866,69.35939789,enemy,4
34.58195877,69.17446136,enemy,3
34.60866928,69.74603271,enemy,2
34.36666489,69.21840668,enemy,1
34.5448494,69.3290329,enemy,4
34.54489899,69.32900238,enemy,4
34.57735825,69.13951874,enemy,3
34.53054047,69.19069672,enemy,3
34.58110046,69.12020111,enemy,3
34.5304985,69.19069672,enemy,3
34.54299927,69.27570343,enemy,4
34.57170105,69.2390976,enemy,4
34.4966507,69.25520325,enemy,4
34.49658203,69.26499939,enemy,4
34.4966011,69.26499939,enemy,4
34.49670029,69.25520325,enemy,4
34.4966011,69.26499939,enemy,4
34.5198288,69.09261322,enemy,3
34.58327103,69.16866302,enemy,3
34.58327103,69.16866302,enemy,3
34.58330154,69.16870117,enemy,3
34.51427841,69.20481873,enemy,3
34.53329849,69.23898315,enemy,4
34.56295013,69.21910858,enemy,3
34.54042053,69.21939087,enemy,3
34.52130127,69.18699646,enemy,3
34.55408859,69.32198334,enemy,4
34.52429962,69.16999817,enemy,3
34.46727371,69.22363281,enemy,3
34.37356186,69.22622681,enemy,1
34.60813141,69.16359711,enemy,3
34.582901,69.16899872,enemy,3
34.60810089,69.16359711,enemy,3
34.37360001,69.22619629,enemy,1
34.56399155,69.1220932,enemy,3
34.5469017,69.11990356,enemy,3
34.4998436,69.21022797,enemy,3
34.55590057,69.14060211,enemy,3
34.55408859,69.32198334,enemy,4
34.36674881,69.19782257,enemy,1
34.37548065,69.1490097,enemy,1
34.51894379,69.07081604,enemy,3
34.53070068,69.08170319,enemy,3
34.53065872,69.0817337,enemy,3
34.54526901,69.26847076,enemy,4
34.53950119,69.35549927,enemy,4
34.54365921,69.26763916,enemy,4
34.54370117,69.26760101,enemy,4
34.53771973,69.20924377,enemy,3
34.42467117,69.18467712,enemy,1
34.54130173,69.22341156,enemy,3
34.52695847,69.16780853,enemy,3
34.52730179,69.16799927,enemy,3
34.53628159,69.20683289,enemy,3
34.53630066,69.20680237,enemy,3
34.60010147,69.08070374,enemy,3
34.52848053,69.16835022,enemy,3
34.5284996,69.16840363,enemy,3
34.54204941,69.15028381,enemy,3
34.54199982,69.15029907,enemy,3
34.55408859,69.32198334,enemy,4
34.54584885,69.19944763,enemy,3
34.54629898,69.20050049,enemy,3
34.49520111,69.2766571,enemy,4
34.54433823,69.25906372,enemy,4
34.49520111,69.27670288,enemy,4
34.54430008,69.25910187,enemy,4
34.52779007,69.21247864,enemy,3
34.52780151,69.21250153,enemy,3
34.60010147,69.08070374,enemy,3
34.84170151,69.15529633,enemy,0
34.84170914,69.15531158,enemy,0
34.57513046,69.39792633,enemy,4
34.51667023,69.18332672,enemy,3
34.53054047,69.19069672,enemy,3
34.5304985,69.19069672,enemy,3
34.56024933,69.36932373,enemy,4
34.52426147,69.16343689,enemy,3
34.55408859,69.32198334,enemy,4
34.53190994,69.08838654,enemy,3
34.5318985,69.08840179,enemy,3
34.53839874,69.31279755,enemy,4
34.51667023,69.18332672,enemy,3
34.53731918,69.12465668,enemy,3
34.53730011,69.12470245,enemy,3
34.56880188,69.40228271,enemy,4
34.56880188,69.40229797,enemy,4
34.54421997,69.2525177,enemy,4
34.55408859,69.32198334,enemy,4
34.54589844,69.19940186,enemy,3
34.54584885,69.19944763,enemy,3
34.5135498,69.10836792,enemy,3
34.51350021,69.10839844,enemy,3
34.52245331,69.16997528,enemy,3
34.55408859,69.32198334,enemy,4
34.53179932,69.68180084,enemy,2
34.56214905,69.37493896,enemy,4
34.50165939,69.2026062,enemy,3
34.50170135,69.20259857,enemy,3
34.503479,69.19608307,enemy,3
34.50350189,69.19609833,enemy,3
34.53771973,69.20967102,enemy,3
34.53681946,69.20815277,enemy,3
34.53770065,69.20970154,enemy,3
34.53680038,69.20809937,enemy,3
34.52869034,69.1728363,enemy,3
34.53067017,69.04902649,enemy,3
34.792099,69.18579865,enemy,0
34.53054047,69.19069672,enemy,3
34.55408859,69.32198334,enemy,4
34.54743958,69.25887299,enemy,4
34.52188873,69.23741913,enemy,4
34.534729,69.13903046,enemy,3
34.40288925,69.16533661,enemy,1
34.80070114,69.24286652,enemy,0
34.55408859,69.32198334,enemy,4
34.75246811,69.12018585,enemy,0
34.75249863,69.12020111,enemy,0
34.5453186,69.31154633,enemy,4
34.53506851,69.16364288,enemy,3
34.55892944,69.29138947,enemy,4
34.80638885,69.24162292,enemy,0
34.51210022,69.11795044,enemy,3
34.54352951,69.30769348,enemy,4
34.54201889,69.30950928,enemy,4
34.53506851,69.16364288,enemy,3
34.6110611,69.43628693,enemy,4
34.54452133,69.23857117,enemy,4
34.51667023,69.19999695,enemy,3
34.54093933,69.22251892,enemy,3
34.53596115,69.17980957,enemy,3
34.81882858,69.18982697,enemy,0
34.50814819,69.14037323,enemy,3
